Rk,Season,W,L,W-L%
1,2020-21,18,10,.643
2,2019-20,16,15,.516
3,2018-19,26,10,.722
4,2017-18,30,7,.811
5,2016-17,27,8,.771
6,2015-16,26,9,.743
7,2014-15,21,13,.618
8,2013-14,15,17,.469
9,2012-13,16,18,.471
10,2011-12,22,13,.629
11,2010-11,26,8,.765
12,2009-10,29,6,.829
13,2008-09,27,10,.730
14,2007-08,25,9,.735
15,2006-07,22,12,.647
16,2005-06,9,19,.321
17,2004-05,7,21,.250
18,2003-04,17,14,.548
19,2002-03,19,11,.633
20,2001-02,13,18,.419
21,2000-01,17,15,.531
22,1999-00,24,10,.706
23,1998-99,21,13,.618
24,1997-98,28,8,.778
25,1996-97,18,12,.600
26,1995-96,26*,6*,.813
27,1994-95,25,7,.781
28,1993-94,29,5,.853
29,1992-93,18,10,.643
30,1991-92,18,15,.545
31,1990-91,17,12,.586
32,1989-90,22,8,.733
33,1988-89,15,16,.484
34,1987-88,29,4,.879
35,1986-87,25,5,.833
36,1985-86,22,10,.688
37,1984-85,20,9,.690
38,1983-84,22,7,.759
39,1982-83,21,9,.700
40,1981-82,18,14,.563
41,1980-81,21,11,.656
42,1979-80,23,10,.697
43,1978-79,27,8,.771
44,1977-78,16,11,.593
45,1976-77,19*,9*,.679
46,1975-76,16,11,.593
47,1974-75,17,11,.607
48,1973-74,21,9,.700
49,1972-73,15,9,.625
50,1971-72,12,12,.500
51,1970-71,18,7,.720
52,1969-70,18,6,.750
53,1968-69,23,5,.821
54,1967-68,15,9,.625
55,1966-67,15,9,.625
56,1965-66,8,16,.333
57,1964-65,12,12,.500
58,1963-64,12,12,.500
59,1962-63,7,17,.292
60,1961-62,17,7,.708
61,1960-61,16,7,.696
62,1959-60,11,12,.478
63,1958-59,15,7,.682
64,1957-58,14,8,.636
65,1956-57,15,7,.682
66,1955-56,16,6,.727
67,1954-55,12,10,.545
68,1953-54,9,13,.409
69,1952-53,4,18,.182
70,1951-52,8,14,.364
71,1950-51,8,14,.364
72,1949-50,9,13,.409
73,1948-49,13,9,.591
74,1947-48,11,9,.550
75,1946-47,9,11,.450
76,1945-46,10,11,.476
77,1944-45,9,11,.450
78,1943-44,11,10,.524
79,1942-43,9,11,.450
80,1941-42,14,7,.667
81,1940-41,13,7,.650
82,1939-40,16,4,.800
83,1938-39,12,7,.632
84,1937-38,18,2,.900
85,1936-37,15,5,.750
86,1935-36,16,4,.800
87,1934-35,17,3,.850
88,1933-34,17,3,.850
89,1932-33,11,7,.611
90,1931-32,17,1,.944
91,1930-31,12,5,.706
92,1929-30,13,2,.867
93,1928-29,13,4,.765
94,1927-28,15,2,.882
95,1926-27,12,5,.706
96,1925-26,13,4,.765
97,1924-25,9,5,.643
98,1923-24,12,5,.706
99,1922-23,9,6,.600
100,1921-22,15,3,.833
101,1920-21,13,7,.650
102,1919-20,16,4,.800
103,1918-19,6,8,.429
104,1917-18,11,5,.688
105,1916-17,11,3,.786
106,1915-16,4,10,.286
107,1914-15,5,8,.385
108,1913-14,5,9,.357
109,1912-13,7,5,.583
110,1911-12,12,0,1.000
111,1910-11,12,4,.750
112,1909-10,8,5,.615
113,1908-09,8,4,.667
114,1907-08,5,9,.357
115,1906-07,7,8,.467
116,1905-06,4,7,.364
117,1904-05,3,6,.333
118,1903-04,11,2,.846
119,1902-03,8,0,1.000
120,1901-02,10,3,.769
121,1900-01,12,0,1.000
122,1899-00,0,1,.000
123,1896-97,1,1,.500
